_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
73524,1104,PO-00779,80,Lothian Ave,Lothian Ave,West,Springbrook Gdns,South,13804.0,3,,PPC,Existing,M0513804,0,303264.96,4833330.194,-79.519025896,43.639911545,"{u'type': u'Point', u'coordinates': (-79.5190258959, 43.6399115428)}"
73525,1105,PO-00184,545,Lake Shore Blvd W,Bathurst St,East,Lake Shore Blvd W,South,7951.0,10,The Waterfront,PPC,Existing,M2007951,0,312939.376,4832932.352,-79.399123402,43.63628749,"{u'type': u'Point', u'coordinates': (-79.399123404, 43.6362874909)}"
73526,1106,PO-00058,212,King St W,Simcoe St,West,Pearl St,South,7391.0,10,Toronto Entertainment District,PPC,Temporarily Removed,M2007391,0,313965.696,4834221.1280000005,-79.386381712,43.64787629,"{u'type': u'Point', u'coordinates': (-79.3863817142, 43.6478762915)}"
73527,1107,PO-00228,84,Queen's Park,Queen's Park,West,Bloor St W,South,8073.0,11,,PPC,Existing,M2008073,0,313390.328,4836320.673,-79.393480575,43.666781862,"{u'type': u'Point', u'coordinates': (-79.3934805808, 43.6667818651)}"
73528,1108,PO-00386,3325,Warden Ave,Warden Ave,East,Bamburgh Crcl,South,8342.0,22,,PPC,Existing,M3908342,0,318929.14,4852735.847,-79.32436860199999,43.814453111999995,"{u'type': u'Point', u'coordinates': (-79.3243685959, 43.8144531121)}"
73529,1109,PO-00484,240,Wellesley Ave,Wellesley Ave,North,Ontario St,East,8359.0,13,Cabbagetown,PPC,Existing,M2808359,0,315123.804,4836432.041,-79.37198352600001,43.667762267,"{u'type': u'Point', u'coordinates': (-79.3719835272, 43.6677622727)}"
73530,1110,PO-00882,3255,Lawrence Ave E,Lawrence Ave E,South,Burnview Cres,East,,21,,Collar,Existing,,0,325752.672,4846328.591,-79.239800106,43.756619233,"{u'type': u'Point', u'coordinates': (-79.2398001035, 43.7566192319)}"
73531,1111,PO-01165,1,Bayside Lane,Bayside Lane,East,Basking Ridge,Southeast,15313.0,3,,PPC,Existing,M0315313,0,305372.355,4833077.763,-79.492906276,43.637640675,"{u'type': u'Point', u'coordinates': (-79.4929062718, 43.6376406787)}"
73532,1114,PO-01049,1515,Danforth Rd,Danforth Rd,East,Hollyhedge Dr,South,14289.0,21,,PPC,Existing,M3814289,0,325392.68,4845724.152,-79.244293771,43.751188702,"{u'type': u'Point', u'coordinates': (-79.244293772, 43.7511887011)}"
73533,1115,PO-00041,415,King St W,Spadina Ave,East,King St W,South,7374.0,10,Toronto Entertainment District,PPC,Existing,M2007374,0,313288.158,4833941.155,-79.394784887,43.645364195,"{u'type': u'Point', u'coordinates': (-79.394784883, 43.6453641949)}"
73534,1116,PO-00053,150,John St,John St,West,Richmond St W,North,7386.0,10,Toronto Entertainment District,PPC,Existing,M2007386,0,313598.30100000004,4834382.151000001,-79.390933328,43.649330151,"{u'type': u'Point', u'coordinates': (-79.3909333244, 43.6493301512)}"
73535,1117,PO-00358,2457,Eglinton Ave E,Transway Cres,East,Eglinton Ave E,South,8281.0,20,,PPC,Temporarily Removed,M3508281,0,323774.917,4843666.423,-79.264454535,43.732709969,"{u'type': u'Point', u'coordinates': (-79.2644545322, 43.7327099694)}"
73536,1119,PO-00208,214,College St,College St,North,St George St,West,8063.0,11,,PPC,Existing,M2008063,0,313110.729,4835408.146000001,-79.39696163,43.658571088,"{u'type': u'Point', u'coordinates': (-79.3969616308, 43.658571089)}"
73537,1120,PO-00180,31,Alentejo St,Alentejo St,East,Braga Gdns,North,7949.0,9,,PPC,Existing,M1707949,0,307543.841,4837440.6680000005,-79.465970861,43.676907872,"{u'type': u'Point', u'coordinates': (-79.4659708569, 43.6769078704)}"
73538,1121,PO-00140,899,Eglinton Ave W,Eglinton Ave W,South,Chiltern Hill Rd,East,481.0,8,Upper Village,PPC,Existing,M2100481,0,310649.137,4840062.408,-79.427430525,43.700488963999994,"{u'type': u'Point', u'coordinates': (-79.4274305213, 43.7004889697)}"
